text,de,en,fr,klingon,es,add your favourite language simply to a new row
TEXT_VOTING_PRO,Stimme dafür,Vote for,voter pour,Hija'!,Si!,
TEXT_VOTING_CONTRA,Stimme dagegen,Vote against,voter contre,Qo'!,No!,
TEXT_VOTING_NEUTRAL,Egal / Weiß nicht,No opinion,sans opinion,,,
TEXT_VOTING_DOUBLE,Thema ist für mich sehr wichtig. (Doppelt werten) ,Topic is very important for me (count twice),,,,
TEXT_VOTING_SKIP,Überspringen <br /> (Nicht werten) ,Skip (don't count),,,,
TEXT_QUESTION,Frage,Question,Question,,,
TEXT_ALLOW_STATISTIC,Anonyme Auswertung (Wahlprognose) erlauben. Siehe [LINK]Datenschutzerklärung[/LINK].,Allow anonymous analytics (prognosis)? See privacy statement.,,,,
TEXT_IMPRINT,Impressum,Legal Notice,,,,
TEXT_RESTART,Fragebogen [LINK]neu starten[/LINK]?,Restart questionnaire?,,,,
TEXT_RESULTS_MATCHES_GENERAL,Übereinstimmung mit den Positionen,Match with the positions,,,,
TEXT_RESULTS_SHOW_DETAILS,Mehr [LINK]Details[/LINK] für die markierten Parteien [LINK]ein-/ausblenden[/LINK]?,Show/Hide more details for the selected parties?,,,,
TEXT_RESULTS_MATCHES_DETAILS,Detaillierte Auswertung mit Vergleich,Detailed analysis including comparison,,,,
TEXT_RESULTS_CHANGE_VOTE,<b>Hinweis</b>: Eigene Position und Wertung noch mal ändern? Einfach in der Spalte das Symbol anklicken! ,<b>Hint</b>: Change your vote again? Simply click the icon in the row!,,,,
TEXT_SOCIAL,Mit Freunden teilen,Share with friends,Partager,,,
